method,split,metric,n_seeds,mean_delta,std_delta,min_delta,max_delta,beats_erm_all_seeds
irm,0,test.auc,3,0.005862440947810891,0.015424539042500195,-0.009708737864077666,0.021136033924785136,False
irm,1,test.auc,3,-0.0107431149097816,0.010355739179063933,-0.022613960113960108,-0.0035612535612535856,False
irm,2,test.auc,3,-0.0030454042081948427,0.002916847661365601,-0.005813953488371992,0.0,False
irm,indist,test.auc,3,-0.002079978529253864,0.017759434188227986,-0.020531400966183444,0.014895330112721372,False
irm,0,test_youden.balanced_acc,3,0.0010787486515641727,0.028850031352661093,-0.02986273853364574,0.027240263363463857,False
irm,1,test_youden.balanced_acc,3,-0.02534425451092115,0.03768312119230457,-0.05751424501424496,0.016114672364672344,False
irm,2,test_youden.balanced_acc,3,-0.029208194905869306,0.011637790452371947,-0.04111295681063121,-0.017857142857142794,False
irm,indist,test_youden.balanced_acc,3,-0.002214170692431535,0.022074814781242496,-0.021739130434782594,0.021739130434782705,False
groupdro,0,test.auc,3,0.00237324703344118,0.020744685126206808,-0.020890525610981037,0.018948778038165415,False
groupdro,1,test.auc,3,0.0011870845204178249,0.011376983610254417,-0.006588319088319139,0.014245014245014231,False
groupdro,2,test.auc,3,-0.00221483942414169,0.002090208869122543,-0.004152823920265725,0.0,False
groupdro,indist,test.auc,3,-0.006977992485238893,0.011475783958681299,-0.018317230273751872,0.004629629629629428,False
groupdro,0,test_youden.balanced_acc,3,-0.00047613733586275114,0.020004060923696488,-0.022542126994754996,0.016471375962504253,False
groupdro,1,test_youden.balanced_acc,3,0.037185422602089235,0.051399106219387654,-0.017094017094017144,0.08511396011396011,False
groupdro,2,test_youden.balanced_acc,3,-0.005952380952380894,0.011637790452371947,-0.017857142857142794,0.00539867109634562,False
groupdro,indist,test_youden.balanced_acc,3,-0.004025764895330057,0.010484393432452024,-0.015297906602254385,0.005434782608695676,False
ours,0,test.auc,3,0.015169437934754337,0.012710832557215583,0.007052784287467917,0.02981810065840873,True
ours,1,test.auc,3,0.008190883190883161,0.020511243855599312,-0.015491452991453047,0.020299145299145338,False
ours,2,test.auc,3,-0.019102990033222505,0.023032266817046617,-0.045681063122923526,-0.004983388704318803,False
ours,indist,test.auc,3,0.003556092324208282,0.010563957902020625,-0.005636070853462072,0.015096618357487879,False
ours,0,test_youden.balanced_acc,3,0.008853178588699162,0.0064386395757562,0.004006249302533127,0.016158910835844198,True
ours,1,test_youden.balanced_acc,3,0.0411324786324786,0.010381603881198324,0.03320868945868938,0.05288461538461542,True
ours,2,test_youden.balanced_acc,3,-0.043189368770764146,0.008169566267818154,-0.051910299003322335,-0.0357142857142857,False
ours,indist,test_youden.balanced_acc,3,-0.0055018786902844745,0.02402536330483675,-0.02838164251207731,0.019524959742351133,False
ours_bg,0,test.auc,3,0.006040992448759479,0.016238761663942034,-0.011739761187367415,0.02008704385671256,False
ours_bg,1,test.auc,3,0.009377967711301024,0.011790295327017513,-0.004095441595441618,0.017806267806267817,False
ours_bg,2,test.auc,3,-0.005813953488372066,0.009248778011345533,-0.01578073089700993,0.002491694352159457,False
ours_bg,indist,test.auc,3,0.0047638217928073585,0.01636305474806378,-0.013687600644122222,0.017512077294685957,False
ours_bg,0,test_youden.balanced_acc,3,0.019320760331808223,0.020822230137142888,0.002042182792099112,0.04243945988170961,True
ours_bg,1,test_youden.balanced_acc,3,0.039678300094966756,0.034678858950334596,0.0,0.06419159544159547,False
ours_bg,2,test_youden.balanced_acc,3,-0.04083610188261352,0.04677476094106212,-0.09385382059800662,-0.005398671096345509,False
ours_bg,indist,test_youden.balanced_acc,3,-0.006910896403649984,0.03291683433464138,-0.03482286634460541,0.029388083735909842,False
