run,group,method,split,seed,sweep,best_val_auc,test.acc,test.balanced_acc,test.f1,test.threshold,test.auc,test.sensitivity,test.specificity,test_youden.acc,test_youden.balanced_acc,test_youden.f1,test_youden.threshold,test_youden.auc,test_youden.sensitivity,test_youden.specificity,test_screening.acc,test_screening.balanced_acc,test_screening.f1,test_screening.threshold,test_screening.auc,test_screening.sensitivity,test_screening.specificity,thr.youden,thr.screening,fair.bacc_gap,fair.sensitivity_gap,fair.n_strata,fair.min_stratum_n,fair.max_stratum_n,fair.worst_stratum,fair.worst_stratum_n,fair.worst_stratum_bacc,fair.bacc_gap_n10,fair.n_strata_n10,fair.bacc_gap_n20,fair.n_strata_n20,epochs,best_epoch
ablation-ours_full-indist-20260715-204433,ablation,ours_full,indist,42,sweep-20260715-204432,0.9870600414078675,0.9327731092436975,0.9303542673107891,0.8620689655172413,0.5,0.9665861513687601,0.9259259259259259,0.9347826086956522,0.9159663865546218,0.8671497584541064,0.8076923076923077,0.9899292588233948,0.9665861513687601,0.7777777777777778,0.9565217391304348,0.8907563025210085,0.9162640901771336,0.8,0.02121097967028618,0.9665861513687601,0.9629629629629629,0.8695652173913043,0.9899292588233948,0.02121097967028618,0.5,0.5,6,1,80,brown,2,0.5,0.01321905573823734,2,0.01321905573823734,2,26,10
ablation-ours_no_causal-indist-20260715-211305,ablation,ours_no_causal,indist,42,sweep-20260715-204432,0.989648033126294,0.9159663865546218,0.9194847020933977,0.8333333333333334,0.5,0.9677938808373591,0.9259259259259259,0.9130434782608695,0.9243697478991597,0.9249194847020934,0.847457627118644,0.5235609412193298,0.9677938808373591,0.9259259259259259,0.9239130434782609,0.9243697478991597,0.9249194847020934,0.847457627118644,0.5235609412193298,0.9677938808373591,0.9259259259259259,0.9239130434782609,0.5235609412193298,0.5235609412193298,0.09999999999999998,0.10526315789473684,5,1,90,intermediate,7,0.9,0.05212856083871653,2,,1,23,7
ablation-ours_no_disent-indist-20260715-205957,ablation,ours_no_disent,indist,42,sweep-20260715-204432,0.9979296066252588,0.9495798319327731,0.9412238325281803,0.8928571428571429,0.5,0.9822866344605474,0.9259259259259259,0.9565217391304348,0.9243697478991597,0.9249194847020934,0.847457627118644,0.3599323630332947,0.9822866344605474,0.9259259259259259,0.9239130434782609,0.9243697478991597,0.9249194847020934,0.847457627118644,0.3599323630332947,0.9822866344605474,0.9259259259259259,0.9239130434782609,0.3599323630332947,0.3599323630332947,0.3052631578947369,0.4,6,1,44,intermediate,24,0.6947368421052631,0.2905572755417958,4,0.2905572755417958,3,49,33
ablation-ours_no_lora-indist-20260715-213009,ablation,ours_no_lora,indist,42,sweep-20260715-204432,0.5483954451345755,0.226890756302521,0.5,0.3698630136986301,0.5,0.5,1.0,0.0,0.226890756302521,0.5,0.3698630136986301,0.0,0.5,1.0,0.0,0.226890756302521,0.5,0.3698630136986301,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,5,2,65,brown,2,0.0,0.0,3,0.0,2,18,2
ablation-ours_no_mixstyle-indist-20260715-211926,ablation,ours_no_mixstyle,indist,42,sweep-20260715-204432,0.9943064182194618,0.9411764705882353,0.9357890499194848,0.8771929824561403,0.5,0.9710144927536232,0.9259259259259259,0.9456521739130435,0.9495798319327731,0.9281400966183575,0.8888888888888888,0.8954524993896484,0.9710144927536232,0.8888888888888888,0.967391304347826,0.9495798319327731,0.9281400966183575,0.8888888888888888,0.8954524993896484,0.9710144927536232,0.8888888888888888,0.967391304347826,0.8954524993896484,0.8954524993896484,0.33333333333333337,0.6666666666666667,6,1,73,light,23,0.6666666666666666,0.33333333333333337,3,0.2860644257703081,2,39,23
ablation-ours_no_scin-indist-20260715-205147,ablation,ours_no_scin,indist,42,sweep-20260715-204432,0.9963768115942029,0.9495798319327731,0.9543075684380031,0.896551724137931,0.5,0.9770531400966184,0.9629629629629629,0.9456521739130435,0.9327731092436975,0.9565217391304348,0.8709677419354839,0.1068592295050621,0.9770531400966184,1.0,0.9130434782608695,0.9411764705882353,0.9488727858293076,0.8813559322033898,0.32840701937675476,0.9770531400966184,0.9629629629629629,0.9347826086956522,0.1068592295050621,0.32840701937675476,0.08333333333333326,0.0,6,1,38,tan,10,0.9166666666666667,0.0539215686274509,4,0.030588235294117694,3,31,15
erm_indist-20260715-172926,flagship,erm,indist,42,,0.9839544513457558,0.9411764705882353,0.9357890499194848,0.8771929824561403,0.5,0.9730273752012881,0.9259259259259259,0.9456521739130435,0.957983193277311,0.946658615136876,0.9090909090909091,0.7458599805831909,0.9730273752012881,0.9259259259259259,0.967391304347826,0.865546218487395,0.8999597423510467,0.7647058823529411,0.0420062318444252,0.9730273752012881,0.9629629629629629,0.8369565217391305,0.7458599805831909,0.0420062318444252,0.19047619047619047,0.33333333333333337,6,2,44,tan,24,0.8095238095238095,0.16416040100250617,4,0.16416040100250617,4,25,9
ourbg_indist-20260715-173549,flagship,ours_bg,indist,42,,0.9943064182194618,0.957983193277311,0.946658615136876,0.9090909090909091,0.5,0.9830917874396135,0.9259259259259259,0.967391304347826,0.9159663865546218,0.9325684380032206,0.8387096774193549,0.16138261556625366,0.9830917874396135,0.9629629629629629,0.9021739130434783,0.9495798319327731,0.9412238325281803,0.8928571428571429,0.48444870114326477,0.9830917874396135,0.9259259259259259,0.9565217391304348,0.16138261556625366,0.48444870114326477,0.13809523809523805,0.1428571428571429,6,2,35,tan,22,0.861904761904762,0.13809523809523805,5,0.1208538587848933,4,37,21
method-erm-0-s1-20260715-214912,method,erm,0,1,sweep-20260715-213431,1.0,0.748898678414097,0.6288583863408101,0.43,0.5,0.8187479075995983,0.296551724137931,0.9611650485436893,0.762114537444934,0.7392255328646357,0.6447368421052632,0.0021315922494977713,0.8187479075995983,0.6758620689655173,0.8025889967637541,0.762114537444934,0.7392255328646357,0.6447368421052632,0.0021315922494977713,0.8187479075995983,0.6758620689655173,0.8025889967637541,0.0021315922494977713,0.0021315922494977713,0.28468468468468466,0.9,6,5,112,dark,5,0.5,0.14537745576902195,5,0.14537745576902195,5,38,22
method-erm-0-s2-20260715-215422,method,erm,0,2,sweep-20260715-213431,0.991869918699187,0.7951541850220264,0.7342149313692669,0.6381322957198443,0.5,0.8447941078004687,0.5655172413793104,0.9029126213592233,0.775330396475771,0.7489342707287133,0.6577181208053692,0.11047452688217163,0.8447941078004687,0.6758620689655173,0.8220064724919094,0.775330396475771,0.7489342707287133,0.6577181208053692,0.11047452688217163,0.8447941078004687,0.6758620689655173,0.8220064724919094,0.11047452688217163,0.11047452688217163,0.07949607027276917,0.4878787878787879,5,33,137,tan,133,0.6847896440129451,0.07949607027276917,5,0.07949607027276917,5,43,27
