run,group,method,split,seed,stratum,n,pos,balanced_acc,sensitivity,specificity,auc
method-erm-indist-20260715-174843,method,erm,indist,42,very_light,26,14,0.875,1.0,0.75,0.9285714285714285
method-erm-indist-20260715-174843,method,erm,indist,42,light,24,2,0.9318181818181819,1.0,0.8636363636363636,1.0
method-erm-indist-20260715-174843,method,erm,indist,42,intermediate,32,2,0.7166666666666667,0.5,0.9333333333333333,0.9333333333333333
method-erm-indist-20260715-174843,method,erm,indist,42,tan,28,4,0.8541666666666667,0.75,0.9583333333333334,0.8958333333333333
method-erm-indist-20260715-174843,method,erm,indist,42,brown,7,3,1.0,1.0,1.0,1.0
method-erm-indist-20260715-174843,method,erm,indist,42,dark,2,2,1.0,1.0,,
method-erm-0-20260715-175910,method,erm,0,42,very_light,28,18,0.6,1.0,0.2,0.9388888888888888
method-erm-0-20260715-175910,method,erm,0,42,light,66,24,0.5595238095238095,1.0,0.11904761904761904,0.8075396825396826
method-erm-0-20260715-175910,method,erm,0,42,intermediate,100,38,0.7126485568760611,0.9736842105263158,0.45161290322580644,0.7941426146010186
method-erm-0-20260715-175910,method,erm,0,42,tan,162,43,0.8145397693961305,0.813953488372093,0.8151260504201681,0.9276920070353722
method-erm-0-20260715-175910,method,erm,0,42,brown,90,19,0.6893995552260934,0.42105263157894735,0.9577464788732394,0.7857672349888807
method-erm-0-20260715-175910,method,erm,0,42,dark,8,3,0.5,0.0,1.0,0.6666666666666666
method-erm-1-20260715-180318,method,erm,1,42,very_light,86,14,0.8670634920634921,0.9285714285714286,0.8055555555555556,0.9226190476190477
method-erm-1-20260715-180318,method,erm,1,42,light,89,12,0.7943722943722944,0.6666666666666666,0.922077922077922,0.9199134199134199
method-erm-1-20260715-180318,method,erm,1,42,intermediate,43,0,1.0,,1.0,
method-erm-1-20260715-180318,method,erm,1,42,tan,17,1,0.5,0.0,1.0,0.9375
method-erm-2-20260715-180826,method,erm,2,42,very_light,48,20,0.9642857142857143,1.0,0.9285714285714286,0.9982142857142857
method-erm-2-20260715-180826,method,erm,2,42,light,3,1,1.0,1.0,1.0,1.0
method-erm-2-20260715-180826,method,erm,2,42,intermediate,6,1,1.0,1.0,1.0,1.0
method-erm-2-20260715-180826,method,erm,2,42,tan,7,2,1.0,1.0,1.0,1.0
method-erm-2-20260715-180826,method,erm,2,42,brown,1,1,1.0,1.0,,
method-erm-2-20260715-180826,method,erm,2,42,dark,6,3,1.0,1.0,1.0,1.0
method-irm-indist-20260715-181917,method,irm,indist,42,very_light,17,10,0.8571428571428572,1.0,0.7142857142857143,0.8714285714285714
method-irm-indist-20260715-181917,method,irm,indist,42,light,21,4,1.0,1.0,1.0,1.0
method-irm-indist-20260715-181917,method,irm,indist,42,intermediate,35,3,0.8020833333333333,0.6666666666666666,0.9375,0.96875
method-irm-indist-20260715-181917,method,irm,indist,42,tan,31,5,0.9,0.8,1.0,0.9923076923076923
method-irm-indist-20260715-181917,method,irm,indist,42,brown,12,2,0.95,1.0,0.9,1.0
method-irm-indist-20260715-181917,method,irm,indist,42,dark,3,3,1.0,1.0,,
method-irm-0-20260715-183611,method,irm,0,42,very_light,24,16,0.90625,0.9375,0.875,0.96875
method-irm-0-20260715-183611,method,irm,0,42,light,77,26,0.6990950226244343,0.6923076923076923,0.7058823529411765,0.8273001508295625
method-irm-0-20260715-183611,method,irm,0,42,intermediate,114,46,0.6684782608695652,0.5869565217391305,0.75,0.7877237851662404
method-irm-0-20260715-183611,method,irm,0,42,tan,152,41,0.7251153592617008,0.5853658536585366,0.8648648648648649,0.8330037354427597
method-irm-0-20260715-183611,method,irm,0,42,brown,77,15,0.6172043010752688,0.26666666666666666,0.967741935483871,0.8290322580645162
method-irm-0-20260715-183611,method,irm,0,42,dark,10,1,0.5,0.0,1.0,0.6666666666666667
method-irm-1-20260715-184336,method,irm,1,42,very_light,34,9,0.96,1.0,0.92,0.9777777777777777
method-irm-1-20260715-184336,method,irm,1,42,light,80,9,0.7973395931142411,0.7777777777777778,0.8169014084507042,0.9045383411580595
method-irm-1-20260715-184336,method,irm,1,42,intermediate,73,6,0.7276119402985075,0.5,0.9552238805970149,0.9601990049751244
method-irm-1-20260715-184336,method,irm,1,42,tan,48,3,0.4888888888888889,0.0,0.9777777777777777,0.8074074074074074
method-irm-2-20260715-190732,method,irm,2,42,very_light,49,19,0.9403508771929825,0.9473684210526315,0.9333333333333333,0.987719298245614
method-irm-2-20260715-190732,method,irm,2,42,light,4,2,0.75,1.0,0.5,1.0
method-irm-2-20260715-190732,method,irm,2,42,intermediate,5,0,0.8,,0.8,
method-irm-2-20260715-190732,method,irm,2,42,tan,5,2,1.0,1.0,1.0,1.0
method-irm-2-20260715-190732,method,irm,2,42,brown,1,1,1.0,1.0,,
method-irm-2-20260715-190732,method,irm,2,42,dark,7,4,1.0,1.0,1.0,1.0
method-groupdro-indist-20260715-192357,method,groupdro,indist,42,very_light,12,6,0.9166666666666667,1.0,0.8333333333333334,0.9722222222222223
method-groupdro-indist-20260715-192357,method,groupdro,indist,42,light,20,5,1.0,1.0,1.0,1.0
method-groupdro-indist-20260715-192357,method,groupdro,indist,42,intermediate,32,3,1.0,1.0,1.0,1.0
method-groupdro-indist-20260715-192357,method,groupdro,indist,42,tan,34,6,0.7797619047619048,0.6666666666666666,0.8928571428571429,0.8571428571428572
method-groupdro-indist-20260715-192357,method,groupdro,indist,42,brown,18,4,0.8035714285714286,0.75,0.8571428571428571,0.9285714285714286
method-groupdro-indist-20260715-192357,method,groupdro,indist,42,dark,3,3,1.0,1.0,,
method-groupdro-0-20260715-192918,method,groupdro,0,42,very_light,28,17,0.7887700534759359,0.9411764705882353,0.6363636363636364,0.9251336898395721
method-groupdro-0-20260715-192918,method,groupdro,0,42,light,65,26,0.6794871794871795,0.8461538461538461,0.5128205128205128,0.7534516765285996
method-groupdro-0-20260715-192918,method,groupdro,0,42,intermediate,92,29,0.7536945812807883,0.7931034482758621,0.7142857142857143,0.8571428571428571
method-groupdro-0-20260715-192918,method,groupdro,0,42,tan,176,54,0.7316332726168793,0.5370370370370371,0.9262295081967213,0.8595931997571342
method-groupdro-0-20260715-192918,method,groupdro,0,42,brown,88,17,0.5306545153272576,0.11764705882352941,0.9436619718309859,0.7398508699254349
method-groupdro-0-20260715-192918,method,groupdro,0,42,dark,5,2,0.5,0.0,1.0,0.6666666666666667
method-groupdro-1-20260715-193300,method,groupdro,1,42,very_light,53,12,0.9217479674796748,0.9166666666666666,0.926829268292683,0.967479674796748
method-groupdro-1-20260715-193300,method,groupdro,1,42,light,88,10,0.7935897435897437,0.6,0.9871794871794872,0.9230769230769231
method-groupdro-1-20260715-193300,method,groupdro,1,42,intermediate,68,4,0.625,0.25,1.0,0.84375
method-groupdro-1-20260715-193300,method,groupdro,1,42,tan,26,1,0.5,0.0,1.0,0.76
method-groupdro-2-20260715-193810,method,groupdro,2,42,very_light,57,23,1.0,1.0,1.0,1.0
method-groupdro-2-20260715-193810,method,groupdro,2,42,light,3,1,0.5,0.0,1.0,0.0
method-groupdro-2-20260715-193810,method,groupdro,2,42,intermediate,4,0,1.0,,1.0,
method-groupdro-2-20260715-193810,method,groupdro,2,42,tan,2,2,1.0,1.0,,
method-groupdro-2-20260715-193810,method,groupdro,2,42,dark,5,2,1.0,1.0,1.0,1.0
method-ours-indist-20260715-194846,method,ours,indist,42,very_light,73,16,0.9199561403508771,0.875,0.9649122807017544,0.9747807017543859
method-ours-indist-20260715-194846,method,ours,indist,42,light,27,3,0.8125,0.6666666666666666,0.9583333333333334,0.9305555555555556
method-ours-indist-20260715-194846,method,ours,indist,42,intermediate,10,4,0.7916666666666667,0.75,0.8333333333333334,0.9583333333333334
method-ours-indist-20260715-194846,method,ours,indist,42,tan,7,2,0.75,0.5,1.0,1.0
method-ours-indist-20260715-194846,method,ours,indist,42,brown,1,1,1.0,1.0,,
method-ours-indist-20260715-194846,method,ours,indist,42,dark,1,1,1.0,1.0,,
method-ours-0-20260715-195558,method,ours,0,42,very_light,62,26,0.8643162393162394,0.9230769230769231,0.8055555555555556,0.9615384615384616
method-ours-0-20260715-195558,method,ours,0,42,light,85,28,0.7534461152882206,0.8928571428571429,0.6140350877192983,0.8220551378446116
method-ours-0-20260715-195558,method,ours,0,42,intermediate,111,34,0.7715813598166539,0.6470588235294118,0.8961038961038961,0.8433919022154316
method-ours-0-20260715-195558,method,ours,0,42,tan,118,36,0.7889566395663956,0.6388888888888888,0.9390243902439024,0.9065040650406504
method-ours-0-20260715-195558,method,ours,0,42,brown,68,18,0.6088888888888888,0.2777777777777778,0.94,0.8311111111111111
method-ours-0-20260715-195558,method,ours,0,42,dark,10,3,0.5,0.0,1.0,0.9047619047619048
method-ours-1-20260715-195920,method,ours,1,42,very_light,229,25,0.8770588235294117,0.96,0.7941176470588235,0.9411764705882354
method-ours-1-20260715-195920,method,ours,1,42,light,5,2,0.8333333333333333,1.0,0.6666666666666666,1.0
method-ours-1-20260715-195920,method,ours,1,42,intermediate,1,0,1.0,,1.0,
method-ours-2-20260715-200659,method,ours,2,42,very_light,63,23,0.9657608695652173,0.9565217391304348,0.975,0.9978260869565216
method-ours-2-20260715-200659,method,ours,2,42,light,3,1,0.5,0.0,1.0,1.0
method-ours-2-20260715-200659,method,ours,2,42,tan,1,1,0.0,0.0,,
method-ours-2-20260715-200659,method,ours,2,42,dark,4,3,1.0,1.0,1.0,1.0
method-ours_bg-indist-20260715-201530,method,ours_bg,indist,42,very_light,25,4,0.9761904761904762,1.0,0.9523809523809523,1.0
method-ours_bg-indist-20260715-201530,method,ours_bg,indist,42,light,27,4,1.0,1.0,1.0,1.0
method-ours_bg-indist-20260715-201530,method,ours_bg,indist,42,intermediate,23,3,0.9,1.0,0.8,0.8500000000000001
method-ours_bg-indist-20260715-201530,method,ours_bg,indist,42,tan,25,7,0.873015873015873,0.8571428571428571,0.8888888888888888,0.9444444444444444
method-ours_bg-indist-20260715-201530,method,ours_bg,indist,42,brown,17,7,1.0,1.0,1.0,1.0
method-ours_bg-indist-20260715-201530,method,ours_bg,indist,42,dark,2,2,1.0,1.0,,
method-ours_bg-0-20260715-202443,method,ours_bg,0,42,very_light,51,20,0.7975806451612903,0.95,0.6451612903225806,0.9064516129032257
method-ours_bg-0-20260715-202443,method,ours_bg,0,42,light,74,33,0.8237250554323725,0.8181818181818182,0.8292682926829268,0.9053954175905397
method-ours_bg-0-20260715-202443,method,ours_bg,0,42,intermediate,83,23,0.7510869565217391,0.6521739130434783,0.85,0.8702898550724638
method-ours_bg-0-20260715-202443,method,ours_bg,0,42,tan,95,29,0.7628004179728318,0.5862068965517241,0.9393939393939394,0.8892371995820272
method-ours_bg-0-20260715-202443,method,ours_bg,0,42,brown,100,21,0.7064496684749849,0.47619047619047616,0.9367088607594937,0.8432790837854129
method-ours_bg-0-20260715-202443,method,ours_bg,0,42,dark,51,19,0.6578947368421053,0.3157894736842105,1.0,0.856907894736842
method-ours_bg-1-20260715-202848,method,ours_bg,1,42,very_light,147,19,0.8780838815789473,0.8421052631578947,0.9140625,0.9391447368421053
method-ours_bg-1-20260715-202848,method,ours_bg,1,42,light,54,5,0.8285714285714285,0.8,0.8571428571428571,0.9428571428571428
method-ours_bg-1-20260715-202848,method,ours_bg,1,42,intermediate,32,2,0.7166666666666667,0.5,0.9333333333333333,0.9
method-ours_bg-1-20260715-202848,method,ours_bg,1,42,tan,2,1,0.5,0.0,1.0,1.0
method-ours_bg-2-20260715-203507,method,ours_bg,2,42,very_light,39,17,0.9545454545454546,1.0,0.9090909090909091,0.9973262032085561
method-ours_bg-2-20260715-203507,method,ours_bg,2,42,light,11,4,1.0,1.0,1.0,1.0
method-ours_bg-2-20260715-203507,method,ours_bg,2,42,intermediate,5,0,1.0,,1.0,
method-ours_bg-2-20260715-203507,method,ours_bg,2,42,tan,6,1,0.8,1.0,0.6,1.0
method-ours_bg-2-20260715-203507,method,ours_bg,2,42,brown,4,3,1.0,1.0,1.0,1.0
method-ours_bg-2-20260715-203507,method,ours_bg,2,42,dark,6,3,1.0,1.0,1.0,1.0
ablation-ours_full-indist-20260715-204433,ablation,ours_full,indist,42,very_light,80,17,0.8664799253034547,0.7647058823529411,0.9682539682539683,0.969187675070028
ablation-ours_full-indist-20260715-204433,ablation,ours_full,indist,42,light,27,4,0.8532608695652174,0.75,0.9565217391304348,0.9782608695652174
ablation-ours_full-indist-20260715-204433,ablation,ours_full,indist,42,intermediate,5,2,1.0,1.0,1.0,1.0
ablation-ours_full-indist-20260715-204433,ablation,ours_full,indist,42,tan,4,1,0.8333333333333333,1.0,0.6666666666666666,1.0
ablation-ours_full-indist-20260715-204433,ablation,ours_full,indist,42,brown,2,2,0.5,0.5,,
ablation-ours_full-indist-20260715-204433,ablation,ours_full,indist,42,dark,1,1,1.0,1.0,,
ablation-ours_no_scin-indist-20260715-205147,ablation,ours_no_scin,indist,42,very_light,36,11,0.94,1.0,0.88,0.9600000000000001
ablation-ours_no_scin-indist-20260715-205147,ablation,ours_no_scin,indist,42,light,38,4,0.9705882352941176,1.0,0.9411764705882353,0.9852941176470588
ablation-ours_no_scin-indist-20260715-205147,ablation,ours_no_scin,indist,42,intermediate,30,5,0.96,1.0,0.92,0.984
ablation-ours_no_scin-indist-20260715-205147,ablation,ours_no_scin,indist,42,tan,10,4,0.9166666666666667,1.0,0.8333333333333334,1.0
ablation-ours_no_scin-indist-20260715-205147,ablation,ours_no_scin,indist,42,brown,4,2,1.0,1.0,1.0,1.0
ablation-ours_no_scin-indist-20260715-205147,ablation,ours_no_scin,indist,42,dark,1,1,1.0,1.0,,
ablation-ours_no_disent-indist-20260715-205957,ablation,ours_no_disent,indist,42,very_light,44,10,0.9852941176470589,1.0,0.9705882352941176,1.0
ablation-ours_no_disent-indist-20260715-205957,ablation,ours_no_disent,indist,42,light,30,5,0.98,1.0,0.96,0.984
ablation-ours_no_disent-indist-20260715-205957,ablation,ours_no_disent,indist,42,intermediate,24,5,0.6947368421052631,0.6,0.7894736842105263,0.8947368421052633
ablation-ours_no_disent-indist-20260715-205957,ablation,ours_no_disent,indist,42,tan,14,3,0.9545454545454546,1.0,0.9090909090909091,1.0
ablation-ours_no_disent-indist-20260715-205957,ablation,ours_no_disent,indist,42,brown,6,3,1.0,1.0,1.0,1.0
ablation-ours_no_disent-indist-20260715-205957,ablation,ours_no_disent,indist,42,dark,1,1,1.0,1.0,,
ablation-ours_no_causal-indist-20260715-211305,ablation,ours_no_causal,indist,42,very_light,90,19,0.9121571534469978,0.8947368421052632,0.9295774647887324,0.9718309859154929
ablation-ours_no_causal-indist-20260715-211305,ablation,ours_no_causal,indist,42,light,19,5,0.9642857142857143,1.0,0.9285714285714286,0.9285714285714286
ablation-ours_no_causal-indist-20260715-211305,ablation,ours_no_causal,indist,42,intermediate,7,2,0.9,1.0,0.8,1.0
ablation-ours_no_causal-indist-20260715-211305,ablation,ours_no_causal,indist,42,tan,2,0,1.0,,1.0,
ablation-ours_no_causal-indist-20260715-211305,ablation,ours_no_causal,indist,42,dark,1,1,1.0,1.0,,
ablation-ours_no_mixstyle-indist-20260715-211926,ablation,ours_no_mixstyle,indist,42,very_light,73,17,0.9527310924369747,0.9411764705882353,0.9642857142857143,0.9726890756302521
ablation-ours_no_mixstyle-indist-20260715-211926,ablation,ours_no_mixstyle,indist,42,light,23,3,0.6666666666666666,0.3333333333333333,1.0,0.9166666666666666
ablation-ours_no_mixstyle-indist-20260715-211926,ablation,ours_no_mixstyle,indist,42,intermediate,11,2,1.0,1.0,1.0,1.0
ablation-ours_no_mixstyle-indist-20260715-211926,ablation,ours_no_mixstyle,indist,42,tan,8,1,0.9285714285714286,1.0,0.8571428571428571,1.0
ablation-ours_no_mixstyle-indist-20260715-211926,ablation,ours_no_mixstyle,indist,42,brown,3,3,1.0,1.0,,
ablation-ours_no_mixstyle-indist-20260715-211926,ablation,ours_no_mixstyle,indist,42,dark,1,1,1.0,1.0,,
ablation-ours_no_lora-indist-20260715-213009,ablation,ours_no_lora,indist,42,very_light,65,12,0.5,1.0,0.0,0.5
ablation-ours_no_lora-indist-20260715-213009,ablation,ours_no_lora,indist,42,light,28,9,0.5,1.0,0.0,0.5
ablation-ours_no_lora-indist-20260715-213009,ablation,ours_no_lora,indist,42,intermediate,16,3,0.5,1.0,0.0,0.5
ablation-ours_no_lora-indist-20260715-213009,ablation,ours_no_lora,indist,42,tan,8,3,0.5,1.0,0.0,0.5
ablation-ours_no_lora-indist-20260715-213009,ablation,ours_no_lora,indist,42,brown,2,0,0.0,,0.0,
method-erm-indist-s1-20260715-213432,method,erm,indist,1,very_light,14,3,1.0,1.0,1.0,1.0
method-erm-indist-s1-20260715-213432,method,erm,indist,1,light,39,6,1.0,1.0,1.0,1.0
method-erm-indist-s1-20260715-213432,method,erm,indist,1,intermediate,23,4,0.6973684210526316,0.5,0.8947368421052632,0.8815789473684211
