method,split,mean,std,min,max,n,ci95_halfwidth
erm,0,0.8355615072722539,0.014584402533081834,0.8187479075995983,0.8447941078004687,3,0.01650380510775153
erm,1,0.9294278252611585,0.008005562820554271,0.9225427350427351,0.9382122507122507,3,0.009059147144944477
erm,2,0.9983388704318936,0.002197467866332726,0.9958471760797342,1.0,3,0.0024866689817589936
erm,indist,0.9686661298980139,0.008825366730698576,0.9619565217391305,0.9786634460547503,3,0.009986842601025342
groupdro,0,0.837934754305695,0.022522565497393773,0.8222519808057136,0.8637428858386341,3,0.025486682135412095
groupdro,1,0.9306149097815765,0.013260988071135496,0.915954415954416,0.9417735042735043,3,0.01500622066387737
groupdro,2,0.9961240310077519,0.004180417738245145,0.9916943521594684,1.0,3,0.004730588000741806
groupdro,indist,0.961688137412775,0.004383895926977843,0.9581320450885669,0.9665861513687599,3,0.0049608452473383245
irm,0,0.8414239482200648,0.008861124191004576,0.833433768552617,0.8509541345831939,3,0.010027305976518427
irm,1,0.918684710351377,0.0029492540951578383,0.9155982905982906,0.9214743589743589,3,0.0033373951856660493
irm,2,0.9952934662236989,0.0050064067884897845,0.9900332225913622,1.0,3,0.0056652826017344
irm,indist,0.9665861513687601,0.011962687566911106,0.9581320450885669,0.9802737520128825,3,0.013537055338495533
ours,0,0.8507309452070082,0.00187518927006315,0.848566008258007,0.8518468920879366,3,0.002121976418510817
ours,1,0.9376187084520419,0.01319387171579836,0.9227207977207976,0.9478276353276354,3,0.014930271358068362
ours,2,0.979235880398671,0.022332773521177355,0.9534883720930233,0.9933554817275748,3,0.02527191229623728
ours,indist,0.9722222222222223,0.005279741162884008,0.9665861513687601,0.9770531400966184,3,0.005974589564019554
ours_bg,0,0.8416024997210133,0.010217028494331336,0.8330543466131013,0.8529182010936279,3,0.011561656136979737
ours_bg,1,0.9388057929724596,0.005830929680441203,0.934116809116809,0.9453347578347578,3,0.0065983180884318735
ours_bg,2,0.9925249169435215,0.007382221276840137,0.9842192691029901,0.9983388704318936,3,0.008353769785146032
ours_bg,indist,0.9734299516908212,0.007542268114007734,0.9649758454106281,0.9794685990338164,3,0.008534879830808485
