method,split,mean,std,min,max,n,ci95_halfwidth
erm,0,0.7310344827586207,0.09556142386586909,0.6758620689655173,0.8413793103448276,3,0.10813793103448277
erm,1,0.8395061728395062,0.07709874072096787,0.7777777777777778,0.9259259259259259,3,0.08724543827048666
erm,2,1.0,0.0,1.0,1.0,3,0.0
erm,indist,0.9382716049382717,0.02138334330331943,0.9259259259259259,0.9629629629629629,3,0.024197530864197486
groupdro,0,0.7954022988505747,0.16295915952595194,0.6689655172413793,0.9793103448275862,3,0.18440564865367812
groupdro,1,0.9012345679012346,0.0770987407209679,0.8148148148148148,0.9629629629629629,3,0.08724543827048668
groupdro,2,0.9642857142857143,0.0,0.9642857142857143,0.9642857142857143,3,0.0
groupdro,indist,0.9012345679012346,0.021383343303319546,0.8888888888888888,0.9259259259259259,3,0.024197530864197615
irm,0,0.7310344827586207,0.10947936459577617,0.6068965517241379,0.8137931034482758,3,0.1238875636153579
irm,1,0.8518518518518517,0.0,0.8518518518518519,0.8518518518518519,3,0.0
irm,2,0.9761904761904763,0.0206196524710581,0.9642857142857143,1.0,3,0.023333333333333376
irm,indist,0.9876543209876543,0.021383343303319546,0.9629629629629629,1.0,3,0.024197530864197615
ours,0,0.7333333333333334,0.1447180757290771,0.6206896551724138,0.896551724137931,3,0.16376391915842312
ours,1,0.9382716049382717,0.02138334330331943,0.9259259259259259,0.9629629629629629,3,0.024197530864197486
ours,2,0.9285714285714285,0.0357142857142857,0.8928571428571429,0.9642857142857143,3,0.04041451884327379
ours,indist,0.9135802469135802,0.09320783253420682,0.8148148148148148,1.0,3,0.10547459172024351
ours_bg,0,0.7103448275862069,0.07459761259580669,0.6482758620689655,0.7931034482758621,3,0.08441514535766113
ours_bg,1,0.9012345679012346,0.056575008579701686,0.8518518518518519,0.9629629629629629,3,0.06402064900847647
ours_bg,2,0.9880952380952381,0.020619652471058063,0.9642857142857143,1.0,3,0.023333333333333334
ours_bg,indist,0.9135802469135802,0.05657500857970174,0.8518518518518519,0.9629629629629629,3,0.06402064900847652
